REEF_ID,REEF_NAME,SECTOR,SHELF,LATITUDE,LONGITUDE,in_marine_protected_area,capad_name,capad_iucn,capad_type,capad_match_count
15085S,LENA REEF,CL,O,-15.65,145.8,True,Great Barrier Reef,VI,Marine Park,1
15088S,RUBY REEF,CA,O,-15.75,145.783333,True,Great Barrier Reef,VI,Marine Park,2
15089S,ENDEAVOUR REEF,CL,M,-15.783333,145.583333,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
15090S,ANDERSEN REEF,CA,O,-15.791667,145.8,True,Great Barrier Reef,VI,Marine Park,2
15092S,RACHEL CARSON REEF,CA,O,-15.825,145.816667,True,Great Barrier Reef,VI,Marine Park,2
15093S,PICKERSGILL REEF,CA,M,-15.875,145.583333,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,3
15094S1,ESCAPE (1),CA,O,-15.883333,145.791667,True,Great Barrier Reef,VI,Marine Park,2
15095S,EVENING REEF,CA,M,-15.908333,145.658333,True,Great Barrier Reef,VI,Marine Park,2
15096S,AGINCOURT REEFS (NO 4),CA,O,-15.95,145.816667,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
15098S,MORNING REEF,CA,M,-15.975,145.666667,True,Great Barrier Reef,VI,Marine Park,2
15099A,AGINCOURT REEFS (NO 3),CA,O,-15.991667,145.825,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
15099C,AGINCOURT REEFS (NO 1),CA,O,-16.05,145.858333,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16013A,16013A,CA,M,-16.013333,145.791667,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16013B,16013B,CA,M,-16.013333,145.8,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16013C,16013C,CA,M,-16.03,145.803333,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16015S,MACKAY REEF,CA,M,-16.05,145.65,True,Great Barrier Reef,VI,Marine Park,3
16017S,16017S,CA,M,-16.083333,145.725,True,Great Barrier Reef,VI,Marine Park,2
16019S,ST CRISPIN REEF,CA,O,-16.108333,145.833333,True,Great Barrier Reef,VI,Marine Park,2
16020A,UNDINE REEF (WEST),CA,M,-16.125,145.666667,True,Great Barrier Reef,VI,Marine Park,3
16023S,RUDDER REEF,CA,M,-16.2,145.7,True,Great Barrier Reef,VI,Marine Park,2
16024S,CHINAMAN REEF(16024),CA,M,-16.208333,145.8,True,Great Barrier Reef,VI,Marine Park,2
16025S2,OPAL (2),CA,O,-16.216667,145.891667,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16026S2,TONGUE (2),CA,M,-16.316667,145.816667,True,Great Barrier Reef,VI,Marine Park,2
16028S,LOW ISLANDS REEF,CA,I,-16.383333,145.566667,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,3
16030S,NORMAN REEF,CA,O,-16.433333,146.0,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16032S,SAXON REEF,CA,M,-16.466667,145.983333,True,Eastern Kuku Yalanji,VI,Indigenous Protected Area,2
16040S,PIXIE REEF,CA,M,-16.55,145.858333,True,Great Barrier Reef,VI,Marine Park,1
16043A,OYSTER REEF,CA,M,-16.633333,145.933333,True,Great Barrier Reef,IV,Marine Park,2
16044B,VLASOFF REEF,CA,M,-16.65,146.0,True,Great Barrier Reef,IV,Marine Park,2
16046S,UPOLU REEF,CA,M,-16.675,145.933333,True,Great Barrier Reef Coast,II,Marine Park,2
16049S,GREEN ISLAND REEF,CA,I,-16.758333,145.98,True,Great Barrier Reef,Ia,Marine Park,2
16054S,FITZROY ISLAND REEF,CA,I,-16.925,145.983333,True,Great Barrier Reef,IV,Marine Park,2
16057S,HASTINGS REEF,CA,M,-16.516667,146.016667,True,Great Barrier Reef,II,Marine Park,1
